PUMFID,HHLDSIZE,GENDER,TBC_05AR,TBC_05BR,TBC_10AR,TBC_10BR,TBC_15R,TBC_20R,TBC_25QR,TBC_30AR,TBC_30BR,TBC_30CR,TBC_30DR,TBC_30ER,TBC_30FR,TBC_30GR,TBC_35R,TBC_40R,TBC_41AR,TBC_41BR,TBC_41CR,TBC_45AR,TBC_45BR,TBC_45ER,TBC_45FR,TBC_45GR,TBC_50AR,TBC_50BR,TBC_50CR,TBC_50DR,TBC_50ER,TBC_50GR,TBC_55R,OTP_05A,OTP_05BR,OTP_05CR,OTP_05DR,OTP_05ER,VAP_05AR,VAP_05BR,VAP_10R,VAP_15AR,VAP_15BR,VAP_15CR,VAP_20R,VAP_21R,VAP_30R,VAP_35R,VAP_40AR,VAP_40BR,VAP_40CR,VAP_40DR,VAP_40ER,VAP_40FR,VAP_40GR,VAP_40HR,VAP_41AR,VAP_41BR,VAP_41CR,VAP_41DR,VAP_41ER,VAP_41FR,VAP_41GR,VAP_41HR,VAP_41IR,VAP_45R,VAP_60,CAN_05AR,CAN_05BR,CAN_10AR,CAN_10BR,CAN_15AR,CAN_15BR,CAN_17R,CAN_20AR,CAN_20BR,CAN_25AR,CAN_25BR,CAN_30AR,CAN_30BR,CAN_30CR,CAN_30DR,CAN_30ER,CAN_30FR,CAN_30GR,CAN_30HR,CAN_30IR,IU_05R,ALC_05,ALC_10,REFYEAR,REFMONTH,REFDAY,AGEGROUP,PROV_C,DV_SSR,DV_CN30R,DV_VP30R,DV_VC30R,DV_AL30R,FIRSTTRR,VERDATE,WTPP
50011,5,1,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,2,96,6,96,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,4,8,2020,12,8,2,59,3,2,2,2,2,6,07JUL2022,1055.2442
50012,2,1,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,96,6,96,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,4,8,2020,12,8,2,13,3,2,2,2,2,6,07JUL2022,641.2214
50013,4,1,1,3,1,6,1,6,96,2,2,2,2,2,2,2,2,2,6,6,6,2,2,2,2,1,1,2,2,2,2,2,2,4,4,4,4,4,1,10,4,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,2,96,6,96,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,1,1,8,9999,99,99,6,24,1,2,2,2,1,1,07JUL2022,8038.6412
50014,5,1,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,2,96,6,96,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,4,8,2020,12,8,1,46,3,2,2,2,2,6,07JUL2022,1153.5562
50015,1,1,1,2,4,6,1,4,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,2,96,6,96,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,1,2,9999,99,99,7,46,2,2,2,2,1,1,07JUL2022,2115.9047
50016,3,1,1,4,4,6,1,4,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,2,96,6,96,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,3,7,9999,99,99,6,35,2,2,2,2,1,1,07JUL2022,8206.7371
50017,1,1,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,2,96,6,96,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,3,8,9999,99,99,7,59,3,2,2,2,1,6,07JUL2022,3312.2231
50018,4,2,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,2,96,6,96,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,3,8,2020,12,8,1,13,3,2,2,2,1,6,07JUL2022,639.019
50019,2,1,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,2,96,6,96,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,4,8,2020,12,8,1,35,3,2,2,2,2,6,07JUL2022,1721.8945
50020,1,1,1,2,4,6,1,4,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,1,2,4,96,6,6,6,1,8,1,6,2,2,2,2,2,2,2,1,2,3,2,3,9999,99,99,5,13,2,2,2,1,1,3,07JUL2022,2348.9647
50021,1,2,1,3,4,6,1,4,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,2,96,6,96,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,3,8,9999,99,99,7,46,2,2,2,2,1,1,07JUL2022,1308.3161
50022,4,2,1,2,4,6,1,4,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,2,96,6,96,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,4,8,9999,99,99,4,35,2,2,2,2,2,1,07JUL2022,6455.5781
50023,9,1,1,3,1,6,1,6,96,0,0,1,2,3,3,3,2,2,6,6,6,2,1,2,1,2,2,2,2,2,2,1,2,4,4,4,4,4,1,3,4,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,1,3,1,96,4,6,1,1,2,3,1,2,2,2,2,2,2,2,2,1,1,3,7,2020,12,8,1,35,1,1,2,1,1,1,07JUL2022,1721.8945
50024,3,2,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,2,96,6,96,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,4,8,9999,99,99,7,13,3,2,2,2,2,6,07JUL2022,4672.2144
50025,2,1,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,2,96,6,96,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,4,8,9999,99,99,7,35,3,2,2,2,2,6,07JUL2022,4466.4995
50026,5,2,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,2,96,6,96,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,4,8,2020,12,8,1,46,3,2,2,2,2,6,07JUL2022,275.6518
50027,3,1,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,96,6,96,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,4,8,2020,12,8,2,35,3,2,2,2,2,6,07JUL2022,1130.5618
50028,2,2,1,4,4,6,2,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,1,4,4,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,2,96,6,96,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,1,3,5,2020,12,8,2,35,3,2,2,2,1,1,07JUL2022,1130.5618
50029,5,1,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,96,6,96,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,4,8,2020,12,8,2,24,3,2,2,2,2,6,07JUL2022,1053.1077
50030,5,2,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,1,4,4,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,96,6,96,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,3,8,2020,12,8,2,48,3,2,2,2,1,2,07JUL2022,638.4496
50031,4,1,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,1,4,3,1,4,6,2,1,3,3,1,2,2,2,2,2,2,1,2,2,6,2,5,2020,12,8,2,11,3,1,2,1,1,3,07JUL2022,113.9381
50032,3,1,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,2,96,6,96,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,4,8,2020,12,8,1,48,3,2,2,2,2,6,07JUL2022,947.3149
50033,3,1,1,4,4,6,2,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,6,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,2,96,6,96,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,3,8,9999,99,99,6,35,3,2,2,2,1,1,07JUL2022,5552.0488
